微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KoTEXl9pe,"#英语口语[超话] #美食## 【教你用英文写美食点评】作为一名吃货没事就翻翻dianping的美食排行，跟朋友约饭打卡所有必吃榜，当然也喜欢写个评价赢个积分，没准还被采纳为精选呢。这写评价也是有tips的，所以我们说说how to write a restaurant review：网页链接1.可以非正式或半正式的文体。2.在标题中，给出主要观点或观点。3.写下经历中重要的部分，而不是每一个细节。4.把你的观点组织成段落。5.写出好评和坏评。在写review时你可以用到以下这些词：amazing, fantastic, delicious, overcooked, disappointing, impressive, terrible, below average             [组图共2张]      原图                             ","http://ww1.sinaimg.cn/large/68ffa517gy1gshrz4q7d5j20gb093gmj.jpg,http://ww1.sinaimg.cn/large/68ffa517gy1gshrz4su1uj20gb0ewq60.jpg",无,2021-07-15 21:38,微博 weibo.com,3,3,1
KoTgBmaFT,#微语法# 私信收到很多小伙伴想提高雅思口语水平，今天我们就介绍一个可以提高口语的技巧，那就是提升词汇的多样性，希望可以从这一方面帮到大家。如果说词汇是#雅思#考试的基础，那么同义词/表达就是其中至关重要的一个部分。熟练使用同义词可有效提升你的语言表达多样性，不论口语还是写作都很受用! 这里我们给出一些例子，大家可以牢牢记住这些表达并多多用在平时的训练当中，本文适合手机阅读网页链接             [组图共4张]      原图                             ,"http://ww3.sinaimg.cn/large/68ffa517gy1gshru5u2coj20hd0a20te.jpg,http://ww2.sinaimg.cn/large/68ffa517gy1gshru5vh8kj20h702yt8s.jpg,http://ww2.sinaimg.cn/large/68ffa517gy1gshru5v4mxj20hd02zaa3.jpg,http://ww2.sinaimg.cn/large/68ffa517gy1gshru5wc9nj20j60csjrv.jpg",无,2021-07-15 20:38,微博 weibo.com,4,1,3
KoS0TnoZq,#英语# #美食#  【免费慕课：学英语+了解文化+了解英伦美食，全方位帮你变身“英国通”】通过四周提高英语水平，同时带你深度探索英国文化及美食背后的小故事，全新的免费慕课课程已经开通，“英伦控”们抓紧时间来我们的“云课堂”吧～ 报名参与Mooc，请戳网页链接  原图 ,http://wx1.sinaimg.cn/large/68ffa517gy1gshrg8yjssj20j60j6go0.jpg,无,2021-07-15 17:26,微博 weibo.com,1,0,0
KoIMlAR4o,"#英语# #雅思[超话]# 之IN, ON or AT? 在英语中，介词虽然是种小词，但在作用和运用上的复杂性却不可小看呢。离开了介词的中介或连接作用，就无法表达某些最基本的思想或概念。比如表达时间，大到年代，小到日月，或是表示某些特定的时间或时刻，IN，ON，AT须分清！你知道它们的区别吗？[嘻嘻] http://t.cn/A6V5jwvt                  原图                             ",http://wx1.sinaimg.cn/large/68ffa517gy1gsgkr588i5j20is0e7mzo.jpg,无,2021-07-14 17:56,微博 weibo.com,2,0,0
KoItjn1Nh,#雅思# John问答#   一起来看看本期专家的精华问答，不仅有视频还有小编整理的文字内容附在后面不要错过啊！如果你也有英语相关问题，快告诉我们吧，点击链接填写问题即可网页链接本期大家最关心的问题有：【John问答】感觉和母语者聊天插不上话，你的听力训练方法可能出了问题 LearnEnglish的微博视频                                 ,无,无,2021-07-14 17:09,iPhone客户端,1,0,0
KoIqka2hi,#每日一题## 每日，我们应加倍努力学习、工作，提高自身水平。#今日短语# 我们来学习的地道表达：to raise the bar。下面哪个选项是这个短语的意思呢？ 下面哪个选项是to raise the bar这个短语的意思呢？  ,无,无,2021-07-14 17:01,微博 weibo.com,17,1,1
KozFK80zk,#英语[超话]#  看看这道quiz，当小伙伴描述小型现场活动，你会用什么形容词呢？更多英语学习内容看这里网页链接  原图 ,http://wx3.sinaimg.cn/large/68ffa517gy1gsfhefsj9sj20em0emq48.jpg,无,2021-07-13 18:45,微博 weibo.com,0,0,1
KoxjCo2FD,"#英语# #欧洲杯# 欧洲杯落下帷幕，进球放飞大笑痛失冠军后由晴转阴极的乔治小王子也给我留下了深刻的印象。英格兰不要灰心，向世界杯冲刺啦！力推荐这首足球歌曲给球迷们和孩子球迷们，下次为心爱的球队加油！""One, two, three, four, how about another score; Five, six, seven, eight - we're going to WIN!""（一、二、三、四，快快再多入一球；五、六、七、八 – 我们快要得胜了！）听听这首《we are going to win》。网页链接                  原图                             ",http://wx2.sinaimg.cn/large/68ffa517gy1gsf7qkjt93j20gy09ugnr.jpg,无,2021-07-13 12:45,微博 weibo.com,3,1,0
Kord0tA0m,"#雅思##英语#雅思口语考试如何排除紧张，考试过程中说错了应该办，听听英国文化教育协会的专家给你支招，答案其实就是practice, practice and practice. 那么practice也是要有方法的才能有效提高你的能力和自信，如果考试现场说错了也不要慌，及时意识到自己错在哪，纠正错误。网页链接  LearnEnglish的微博视频                                 ",无,无,2021-07-12 21:12,微博视频号,6,2,2
Koq2Jh2j0,#雅思##英语#暑假模式已开启，假期也是雅思备考冲刺的好时机，试试雅思备考进阶课程#EnglishScore Tutors#吧，英国文化教育协会的导师提供一对一在线辅导，帮助学生有针对性的指定学习计划，课程时间由学生自主决定，灵活上课，重点练习自身的薄弱环节，有效提升技巧。tutors.englishscore.com/ielts/chn/?sc=BCO_CHN_WB-0005 ， 现在预定你的第一节课，只需9元。  LearnEnglish的微博视频                                 ,无,无,2021-07-12 18:14,微博视频号,2,0,1
Kon83e907,#每日英语一测# #英语#英语[超话]# 中的时间介词用来说明事情动作发生的时间，常见的时间介词包括“in、at”和“on”。选出正确的时间介词给下列句子填空。更多好玩学习内容，看这里哦网页链接1. I can’t sleep ____ night.2. I was born ____ a Wednesday.3. I moved to Guangzhou ____ May.                  原图                             ,http://wx1.sinaimg.cn/large/68ffa517gy1gsdz3vd62uj20i70a8q3s.jpg,无,2021-07-12 10:49,微博 weibo.com,3,1,5
KnZSg6uVb,#英国##少儿# 在英国戏剧史上，威廉·莎士比亚及他的剧作品为后世带来了深远的影响。2015年，British Council曾发起 “永恒的#莎士比亚#”项目，以创新的方式展示了英国丰富的文化遗产及英国当代创意产业在中国的发展。今天，不如在睡前带着娃们一起观看莎士比亚的作品，看看当罗密欧和朱丽叶相爱的时候发生了什么？看动画学英语！原版视频在这里哦网页链接 LearnEnglish的微博视频                                 ,无,无,2021-07-09 23:37,iPhone客户端,3,3,1
KnXjakuTd,"#实用# #雅思托福口语精华## 又到周五啦，加班忙碌了一个星期尤其是到了这个时间点有没有感觉到食欲不振、浑身乏力、无心工作。不摸鱼都提不起兴致，说了这么久的“摸鱼”，大家知道都如何表达吗？和歪果仁说肯定不能说touch fish吧？更多好玩的英语知识看这里网页链接其实上班""摸鱼"" 🐟就是不专注干活，浪费时间，我们可以用mess around来表达，表示懒散的工作✔给个🌰Come on, you guys, start doing some work; don't just mess around all day!好啦你们这些家伙，赶紧开始工作吧，别整天闲混了。                  原图                             ",http://wx3.sinaimg.cn/large/68ffa517gy1gsasya59ujj20j60csaaj.jpg,无,2021-07-09 17:05,微博 weibo.com,0,0,1
KnXarzlVu,"#英语# 又到周末啦，小伙伴们周末喜欢做什么，去哪儿耍啊？有什么计划吗？如果你想问你的外国同事或是朋友有关这个话题该怎么说呢？What do you like doing at the weekend?What are your plans for this weekend?Where are you going?在对方一口气说了很多事情，这时你可以跟一句you’ve got a lot planned for one weekend.如果是你被问到这些问题，你可以说，we 're going to..., 如果对方没去过，你可以接着说you can do all kinds of things...we are also going to all the sights(比如是个旅游城市）更多有关weekend话题的口语，请点击链接听听音频吧。网页链接                  原图                             ",http://wx4.sinaimg.cn/large/68ffa517gy1gsasfaejmkj20i60c63zw.jpg,无,2021-07-09 16:43,微博 weibo.com,0,0,0
KnPq3sa56,今晚我们谈谈#哈利波特## 哈利波特你喜欢里面的哪个角色呢？这些角色名字的创造，J.K. Rowling并不是毫无根据的，不少名字暗示了角色的性格或命运。让我们一起来了解一下吧。 Ermione Granger赫敏·格兰杰，赫敏的名字源于希腊神话中的神使Hermes，并认为这是作者用来比喻她的智慧。那么你知道哈利波特的作者'J' 在 J.K. Rowling's中代表什么吗？哈迷们快来在留言区告诉我们答案吧！好玩有意思的英语知识戳这里网页链接                  原图                             ,http://wx4.sinaimg.cn/large/68ffa517gy1gs9tb15y4uj20in0hxgoc.jpg,无,2021-07-08 21:00,微博 weibo.com,1,1,5
KnPb2j9vY,#英语##小窍门# 之根据词缀猜单词拯救雅思阅读难点词汇。阅读文章词汇量大，臣妾做不到每个单词都认识。这时，除了根据上下文推理意思，还有啥办法？小编送锦囊一枚：通过前/后缀知晓单词意思！能帮助大家猜的八九不离十，其实词缀就像汉字偏旁部首，记住了它们很多词不再陌生你的阅读也就迎刃而解啦~记一记常见动词前缀小编的这个技巧是跟着线上雅思课程的老师学到的，除此之外还有更多小tips适合正在准备雅思或者想利用短时间提分的同学们，那今天就不藏着掖着，把这个强赞的课程推给大家网页链接                  原图                             ,http://wx3.sinaimg.cn/large/68ffa517gy1gs9t2o7fiej20bf0e9wgd.jpg,无,2021-07-08 20:23,微博 weibo.com,3,1,0
KnFwK2r1b,"#英语# 无论是看英剧,还是好莱坞大片，刷weibo，推特，你一定会发现外国人发短信很爱用缩写:BTW,BRB，LOL, ASAP,..OMG！这是在说啥？不知道就无法与国外的小伙伴愉快玩耍啦~来，考考看了那么多剧集的你，下面这些缩写都是什么意思呢？来这里学习地道英语表达网页链接  原图 ",http://wx2.sinaimg.cn/large/68ffa517gy1gs8mehnw6oj20c40dyglr.jpg,无,2021-07-07 19:49,微博 weibo.com,3,5,4
KnEMSfCL8,#英语# 今天是干货时间，点进来的小伙伴一定有疑问，难道would you mind这样的表达还不够礼貌吗？有些表达使用不当，让原本想礼貌表达的原意被曲解，甚至自己都不知道哪里有问题，简直崩溃。赶紧点进来让自己的英语离地道再更进一步。原版知识点总结戳这里哦网页链接发布了头条文章：《请人帮忙，用错了Would you mind…没礼貌！》  请人帮忙，用错了Would you mind…没礼貌！                                 ,无,无,2021-07-07 17:56,微博 weibo.com,2,3,3
KnDDr8YQ9,#留学###英语#英语[超话]#  【开学前to do list： 深入了解英国，这些地道又有趣的podcast听起来】今天为大家带来“真香”安利：收下这档有趣的podcast栏目，适用于准备考试以及即将准备留学的同学们，提高英语的同时，深入了解英国社会文化的方方面面，开学后再也不用担心接不住同学们聊天的“梗”了～ 链接在此网页链接专门为英语学习者打造的栏目将为大家介绍英式英语的日常表达，选择与英国文化社会相关的话题作为教学内容。 通过学习，大家不仅可以提升英语的听力和口语能力，同时也能掌握到很多非常本土化的英式英语表达。                  原图                             ,http://wx3.sinaimg.cn/large/68ffa517gy1gs8dn72k09j20i70a8wf5.jpg,无,2021-07-07 15:00,微博 weibo.com,0,0,1
KnwpJ8BoP,#雅思[超话]###英语[超话]##   一图让你避开英语错误重灾区：以下60组英文单词，一字母之差，意思却差之千里，也是你们常常出错的地方哦！不管是考试、邮件、申请文书还是其他各种生活工作的场景下，搞不定它们就容易闹下笑话呢，快快马住，随时提醒自己哇~ 现在线上火爆登陆免费语言测试，不仅可以测词汇量还能测你英语的实时等级，只需3分钟，一起来吧！网页链接                  原图                             ,http://wx4.sinaimg.cn/large/68ffa517gy1gs7erpqo2rj20j61tl7bf.jpg,无,2021-07-06 20:37,微博 weibo.com,2,0,0
Knw1ne1bJ,"#英语# #雅思# ""Four score and seven"" 是在表达啥意思呢？A) The score is 4:7；B) 11；C) 87；D) It's seven minutes past 4给点小提示：这个短语出现在美国历史上为人引用最多的某著名演讲中哦~今日雅思最佳听力材料又更新咯，一起来听网页链接  原图 ",http://wx4.sinaimg.cn/large/68ffa517gy1gs7epfiim9j20i70a80t5.jpg,无,2021-07-06 19:37,微博 weibo.com,1,2,4
KnvD1cQi8,#雅思# #英语# 在听力与阅读考试中，只要考官能明白你所指的事物，答案大小写不是一个critical issue。比如：以小写开头的句子，只要有句号能够区分出这是一句话，就可以。当然，如果能够用约定俗成的书写方式来回答问题，这样考官看起来会更简单易懂。一起来看看这篇文章，写论文，写邮件时单词的大小写究竟都有哪些讲究呢？网页链接                  原图                             ,http://wx4.sinaimg.cn/large/68ffa517gy1gs7eo4qegnj20i70a8aag.jpg,无,2021-07-06 18:37,微博 weibo.com,0,1,0
KnnpCbz0P,#冷笑话###英语# 大家喜欢的冷笑话系列又来喽！ 来看看今天的够不够冷问：What does Triceratops sit on?小伙伴们快来猜！看答案戳这里：网页链接  原图 ,http://wx4.sinaimg.cn/large/68ffa517gy1gs67vq82wrj20hs0bwdgh.jpg,无,2021-07-05 21:42,微博 weibo.com,1,0,5
KnmCUdBIF,#商务###工作##  大家目前准备用英语申请工作吗？人在江湖漂，哪能没英文简历。这里提供了很多有用的简历让你完善一份自己的perfect CV！最新职场英语线上课程开始啦！专家将讲解在审阅简历方面的经验，并给出编写简历的建议。如果你也是准备申请工作的一员，相信这门课程可以帮到大家，课程链接👉网页链接                  原图                             ,http://wx1.sinaimg.cn/large/68ffa517gy1gs67sjgwzzj20i70a83yy.jpg,无,2021-07-05 19:42,微博 weibo.com,1,0,1
KnmeygP10,"#英语[超话]## 看看这道quiz，当小伙伴描述过去瞬间发生的动作时，你应该如何选择时态呢？更多英语学习内容看这里网页链接问题来了：I __ about calling you, when suddenly the telephone___.a. thought/rangb. thought/was ringingc. was thinking/was ringingd. was thinking/rang                   原图                             ",http://wx4.sinaimg.cn/large/68ffa517gy1gs67ni7jgcj20is0i7tbp.jpg,无,2021-07-05 18:42,微博 weibo.com,2,1,4
KnlQczrs9,"#英语# #雅思托福口语精华# 如何用英语指导别人做一件事，且高效！！泰晤士提供了专家的意见，其中一条很重要，“Pause after giving an instruction because you need to let their brain process and apply it. Ask them to repeat it, which helps their brain to process it.” 你可以利用口语给别人giving insturctions吗？今天看看Vanya如何用地道英语帮助Emir使用咖啡机，看完了还有课后习题帮助你更好理解这段纯正英音的对话哦！原文链接👉网页链接 LearnEnglish的微博视频                                 ",无,无,2021-07-05 17:42,微博视频号,2,2,0
KnlOzx4JE,#英语# 学习是终身的事业，将要工作或者已经工作的朋友，不妨试一试#EnglishScore Tutors#，由英国文化教育协会认证的导师提供一对一在线辅导，可以备考#雅思#，也可以打磨职场英语应用能力。想要提升商务英语些写作？想要改善面试和演讲技巧？都没问题，把你的需求告诉老师，她/他可以为你制定个性化的进阶学习方案，提供详细反馈，重点提升弱项，增加职场自信心！即刻占座，仅需9元即可体验第一节课。网页链接                  原图                             ,http://wx2.sinaimg.cn/large/68ffa517gy1gs67coyjg5j20u00u0q85.jpg,无,2021-07-05 17:38,微博 weibo.com,2,0,0
KmUWg9QSG,#英语# 说到英国乐队，每个人的心里都会想到那么几个独一无二的，属于自己的乐队。等疫情结束了，一定要去英国参加现场音乐节一定是夏天不能错过的事情。网页链接 LearnEnglish的微博视频  ,无,无,2021-07-02 21:12,微博视频号,2,0,0
KmU0BxqNk,"#英语# 瑜伽已经成为我们日常的健身运动之一，练瑜伽对身体、健康带来哪些好处，比如：reducing stress, building strength，improving fitness and stamina. 瑜伽有哪些类别和派系呢？周末给大家带来一片短文，喜欢阅读的朋友们点击下方链接：网页链接  原图 ",http://wx1.sinaimg.cn/large/68ffa517ly1gs2stcdvo4j20gb09479a.jpg,无,2021-07-02 18:50,微博 weibo.com,1,0,0
KmTWAvSUv,#少儿英语# 都上小学二年级了，娃对英语学习还是提不起兴趣来，更不喜欢读英语绘本，真是让人愁啊？今天我们推给你超有趣的少儿英语学习视频What will I be when I grow up! 有趣的内容设计，不仅锻炼听力还能增加词汇量.网页链接 LearnEnglish的微博视频  ,无,无,2021-07-02 18:40,英语超话,2,2,0
KmLkgecaS,#英语# 你有没有碰到过回到家门口发现没带钥匙，正在沮丧时遇到了新搬来的邻居，于是你提议是否可以去她家翻过她家的阳台就可以到你家阳台了，问题是新搬来的邻居能否同意你去她家呢？说了这么多，其实这事就发生在我们LearnEnglish网站最近更新的“Writing Home“系列，在英国的巴西小伙Milton遇到了他的新邻居来自中国的Mei. 快听听Milto是如何回到自己的家。网页链接                  原图                             ,http://wx2.sinaimg.cn/large/68ffa517ly1gs1qegvo1yj20io0baal3.jpg,无,2021-07-01 20:44,微博 weibo.com,1,0,0
KmKDReBQD,"#英语##雅思# 雅思口语考试最怕就是被问到不熟悉的topic, 没有相关的experience怎么说呢？来听听我们的专家给你支招，可以借用别人的经历或是你看过的、听过的，不需要跟考官说出来，表达清楚就好啦。 LearnEnglish的微博视频  ",无,无,2021-07-01 19:00,微博视频号,4,3,1
KmHVADdg8,#午休时光###英语[超话]## 以下哪个选项可以用来表达“对突如其来的惊喜感到高兴”？你的答案是？除此之外，我们还有很多有趣的英语学习资料，快来猛戳链接网页链接  Is this gift for me? Thank you. _____!  ,无,无,2021-07-01 12:05,微博 weibo.com,25,0,0
KmHO2zGPP,#午休时光###英语[超话]## 以下哪个选项可以用来表达“对突如其来的惊喜感到高兴”？你的答案是？除此之外，我们还有很多有趣的英语学习资料，快来猛戳链接网页链接  ,无,无,2021-07-01 11:46,微博 weibo.com,1,0,0
KmBOjmNgm,#英语[超话]## It’s quiz time! 每周一道英语小测验，一起来看看这道题：明天晚上你有什么计划？你的答案是？除此之外，我们还有很多有趣的英语学习资料，快来猛戳链接网页链接  原图 ,http://wx2.sinaimg.cn/large/68ffa517gy1gs0fbnc7z3j20j60j6tbu.jpg,无,2021-06-30 20:31,微博 weibo.com,3,0,4
KmBpXmHEF,#英语[超话]# #料理# 不在英国也可以吃到正宗fish & chips! BBC的这款食谱是最最传统的炸鱼薯条的制作方法！做法也很简单哦！不过你知道吗？炸鱼薯条不是英国菜，其实是他们为了躲避困难而将炸鱼薯条带至英国的！了解更多有关英国美食和起源，快来报名我们的最新课程【探索英伦：美食与文化】网页链接             [组图共2张]      原图                             ,"http://ww1.sinaimg.cn/large/68ffa517gy1gs0f833b90j20u00u0dkw.jpg,http://ww1.sinaimg.cn/large/68ffa517gy1gs0f7y9tdwj20c812ejx7.jpg",无,2021-06-30 19:31,微博 weibo.com,1,1,0
KmAIwAN9C,#英语[超话]## 雅思# 讨论出行的时候你是否觉得journey和travel是一样的呢？journey可数，可以说a journey，栗子：did you have a good journey? Travel不可数，泛指出游，不特指某次旅行，🌰：travel is something I recommend to all young people. 戳进来看看还有哪些我们一直搞错的可数不可数名词吧！网页链接             [组图共5张]      原图                             ,"http://ww4.sinaimg.cn/large/68ffa517gy1gs0dqmfl4oj20et07vmx5.jpg,http://ww4.sinaimg.cn/large/68ffa517gy1gs0dqlznufj20ey07jaa2.jpg,http://ww1.sinaimg.cn/large/68ffa517gy1gs0dqmgqa7j20ex07ymx6.jpg,http://ww2.sinaimg.cn/large/68ffa517gy1gs0dqm2c34j20ez07x0sq.jpg,http://ww3.sinaimg.cn/large/68ffa517gy1gs0dqw7f07j20i70a8aag.jpg",无,2021-06-30 17:44,微博 weibo.com,2,0,0
KmAGho3Or,#雅思# John问答#   一起来看看本期专家的精华问答，不仅有视频还有小编整理的文字内容附在后面不要错过啊！如果你也有英语相关问题，快告诉我们吧，点击链接填写问题即可网页链接本期大家最关心的问题有：【John问答】少儿学英语时，自由阅读和直接教学哪种方法可以较快提高阅读技能？？ LearnEnglish的微博视频  LearnEnglish的微博视频 LearnEnglish的微博视频 LearnEnglish的微博视频                                 ,无,无,2021-06-30 17:38,iPhone客户端,0,0,1
KmrBV92OZ,#英语##雅思# 讨论出行的时候你是否觉得journey和travel是一样的呢？journey可数，可以说a journey，栗子：did you have a good journey? Travel不可数，泛指出游，不特指某次旅行，🌰：travel is something I recommend to all young people. 戳进来看看还有哪些我们一直搞错的可数不可数名词吧！网页链接             [组图共5张]      原图                             ,"http://ww1.sinaimg.cn/large/001VdqzJgy1grz61a8ng8j60et07vmx502.jpg,http://ww2.sinaimg.cn/large/68ffa517gy1grz61ab2pjj20ey07jaa2.jpg,http://ww3.sinaimg.cn/large/68ffa517gy1grz61a905rj20ex07ymx6.jpg,http://ww2.sinaimg.cn/large/68ffa517gy1grz61aesvkj20ez07x0sq.jpg,http://ww1.sinaimg.cn/large/68ffa517gy1grz619y20wj20j60cs0uh.jpg",无,2021-06-29 18:33,微博 weibo.com,3,0,0
KmiSR9q6A,"#英国# #英语# 说到英国，你想到了什么?高贵冷艳的王室、庄严肃穆的古堡、令无数烤鸭心驰神往的名校....还有著名的“黑暗料理”~其实吧，除了黑暗料理，英国还有传统的特色食物哦~来！一起识图~你知道这些traditional dishes吗？还有,The UK is made up of more than one country,它们都来自英国的哪里呢？ 英国这些值得骄傲的特点，你可一定要get啊网页链接                  原图                             ",http://wx1.sinaimg.cn/large/68ffa517gy1gry4oy68lpj20dc0dc3zy.jpg,无,2021-06-28 20:20,微博 weibo.com,2,0,3
Kmi69dF6f,#饭后消食# #少儿英语# 饭后小零食，宝妈们，带着娃完成这道有趣的quiz吧，今日主题是代词，看看都有谁能做对吧！ 🍕 _____ want more pizza please!a. Our b. Wec. Ours Do you and your little ones know the answer? Find out more here: 网页链接  原图 ,http://wx4.sinaimg.cn/large/68ffa517gy1gry4d26sdcj20u011i0x4.jpg,无,2021-06-28 18:20,微博 weibo.com,1,0,0
KmhY1BXrH,#英语# #涨知识# 猜猜你对莎士比亚有多了解？当年，莎士比亚的降生让老父亲充满欣喜和期待，那你知道莎士比亚的父亲原来是做什么的吗？His father was: (a) a shoemaker. (b) a bricklayer. (c) a glove maker. 了解更多莎翁不为人知的小秘密，开启7天免费课程: 网页链接  原图 ,http://wx1.sinaimg.cn/large/68ffa517gy1gry48ynkr0j20u00u0gsg.jpg,无,2021-06-28 18:00,微博 weibo.com,7,1,7
KlQFqBlqb,#实用英语# 一分钟集齐八种地道的英文赞美方式！你学会了吗？更多解读，请戳这里: 网页链接 LearnEnglish的微博视频  ,无,无,2021-06-25 20:30,微博视频号,3,1,0
KlQtgbQGU,#英语# #学习打卡# It's quiz time!!!!! 【有奖问答】请人帮忙，用错了Would you mind…没礼貌哦！看看视频，和Ana老师学习礼貌表达。看完视频答题即获奖！参与活动非常简单：关注 @LearnEnglish 将task1答案发在评论区（答题链接在👇）并同时转发这条微博，记得还要 @三位好友。活动日期：即日起至7月2日北京时间0点，2021年7月8日将由@LearnEnglish 公布获奖结果。活动奖品请见品论区。快来答题吧 答题入口，请将task1的答案发至评论区网页链接 LearnEnglish的微博视频                                 ,无,无,2021-06-25 20:00,微博视频号,8,17,17
KlQh4jG9R,"📢 #LearnEnglish# 令人激动的It's quiz time回归啦!!!!! 知识竟答换取文具中的爱马仕以及其他奖品。前5名完成任务的小伙伴将有机会赢得我们为大家准备的精美礼品。活动参与方法，关注@LearnEnglish 转发该条微博并在评论区按要求完成任务, 记得还要@三位好友，今天晚八点不见不散啊~ 奖品图先给大家瞅瞅                  原图                             ",http://wx3.sinaimg.cn/large/68ffa517gy1grun79zg6mj20j60y7wgr.jpg,无,2021-06-25 19:30,微博 weibo.com,1,0,1
KlPxy6dej,选词填空：哪个选项可以在下面的句子中表示“因为，关于”？ Let’s not argue ____ something so trivial.  ,无,无,2021-06-25 17:37,微博 weibo.com,54,1,1
KlGmPCxEA,#英语# “普通话”和“橘子”的英语为啥都是mandarin？我们都知道“中文”的英语是Chinese，普通话则是Mandarin，二者有什么关联与区别呢？而由mandarin组成的词汇，比如mandarin duck、mandarin orange，又有什么特别的意思呢？今天，就来带大家学习一下mandarin~更多有趣好玩的英语小知识，看这里哦网页链接             [组图共5张]      原图                             ,"http://ww4.sinaimg.cn/large/68ffa517ly1grtiw6iydrj20yh1epdr6.jpg,http://ww3.sinaimg.cn/large/68ffa517ly1grtiw7gs3bj20yi1qm13f.jpg,http://ww3.sinaimg.cn/large/68ffa517ly1grtiw7wya2j20yi1wf150.jpg,http://ww1.sinaimg.cn/large/68ffa517ly1grtiw8sp8gj20yi15tqau.jpg,http://ww1.sinaimg.cn/large/001VdqzJly1grtiw8cm8lj60yi1t2k3e02.jpg",无,2021-06-24 18:16,iPhone客户端,3,2,2
KlFZLsQci,#职场# #英语# Sarah和Dan分别接到了面试电话，在通话期间，要尽可能多地了解你面试的大致流程，有任何不明白的就要不耻下问。了解之后就开始为面试做充足的准备工作啦！今天小编就带着大家看看【you're hired】系列视频，从视频中学习地道求职英语表达和面试技巧。网页链接  LearnEnglish的微博视频                                 ,无,无,2021-06-24 17:19,微博视频号,2,2,1
KlFYftJgS,#雅思##英语# 表达“上升”的7种方式写作考试Part 1中，经常会要求大家描述趋势，能够用多种方法表达上升、下降等含义，能助你展示词汇丰富程度，斩获写作高分，也是将来你写paper，做presentation必不可少的技能哦! 除了increase，“上升”用英文还能怎样说? 以下7种方式，请马住!网页链接             [组图共7张]      原图                             ,"http://ww4.sinaimg.cn/large/68ffa517gy1grth56qgkej20go0godgb.jpg,http://ww3.sinaimg.cn/large/68ffa517gy1grth56tdegj20go0go0t9.jpg,http://ww4.sinaimg.cn/large/68ffa517gy1grth56uccjj20go0gojrq.jpg,http://ww3.sinaimg.cn/large/68ffa517gy1grth571hv3j20go0go0t6.jpg,http://ww1.sinaimg.cn/large/68ffa517gy1grth56xgkcj20go0go0t3.jpg,http://ww3.sinaimg.cn/large/68ffa517gy1grth56yrlvj20go0gojrv.jpg,http://ww4.sinaimg.cn/large/68ffa517gy1grth57003oj20go0gowew.jpg",无,2021-06-24 17:16,微博 weibo.com,2,3,0
Klx1IFUgr,#英语# 哈佛大学花了75年追踪了724个人，发现了幸福的人生，都有一个共同特点。那就是拥有好的relationship building方法，当然自己也要懂得用“自己的方法”building relationship。小伙伴们看看培训师总结与人相处的小tips都有哪些？在评论区告诉主页君吧！网页链接顺便学习一个句型：x goes a long way toward doing sth. .x（表示做某事的重要因素）eg：Being respectful and courteous goes a long way toward building a relationship. 对人恭谨、彬彬有礼是建立关系的重要因素。                  原图                             ,http://wx3.sinaimg.cn/large/68ffa517gy1grsbwr7okbj20j60csaaj.jpg,无,2021-06-23 18:30,微博 weibo.com,2,1,0
KlwWYF2qp,#英语##雅思[超话]# 提高口语的一大难题就是没有类母语环境。如果让自己沉浸在母语环境中就能不知不觉中培养自己学习的兴趣和需要，从而达到如母语般迅速掌握英语的神奇效果。试试看雅思官方口语进阶神器#EnglishScore Tutors#吧，外教陪伴营造训练口语的氛围，无论备考#雅思# 还是准备工作面试，都能获得个性化学习方案。现在首节9元，多种课时包现在订购将获得额外免费课时，免费获得更多与导师练习的机会。网页链接                   原图                             ,http://wx1.sinaimg.cn/large/68ffa517ly1grsd8vuwdtj20tk0gymzh.jpg,无,2021-06-23 18:18,iPhone客户端,2,1,1
KlwDn4heA,#雅思托福口语精华## 英国人给世界的印象似乎总是温文尔雅、彬彬有礼的绅士形象，看英剧，我们常常会被高贵、迷人的英音迷倒！英国人在英语上有很独到的一些用法，我们一起来看看今天这个短语，猜猜这是什么意思吧？【Fancy a cuppa】在评论区告诉主页君吧！学习更多日常英语戳这里网页链接                  原图                             ,http://wx4.sinaimg.cn/large/68ffa517gy1grsbl2afrdj20xc0k0nem.jpg,无,2021-06-23 17:30,微博 weibo.com,2,0,3
KlwoksBeb,#干货# ｜让你的课堂Presentation听起来更专业的英语表达， 留英的小伙伴们，如何做好presentation给老师和同学留下好印象？收下这份presentation语言表达汇总，看看里面哪些表达是自己可以借鉴的，让你的演讲更专业～  秘笈入口网页链接  原图 ,http://wx4.sinaimg.cn/large/68ffa517gy1grsauoj1rrj20i70a8aag.jpg,无,2021-06-23 16:53,微博 weibo.com,3,2,1
Klo64AnH0,#英语# #雅思# 你知道Break the ice这么常用的短语其实是莎士比亚创造的吗？还有专指熬夜童鞋的night owl~ 如果有人send someone packing，千万不要天真地以为是“送包裹”哦！（快查标准含义）这里是British Council出品的莎翁所创造的，现在仍常用的英语短语，免费下载网页链接  原图 ,http://wx2.sinaimg.cn/large/68ffa517gy1grr6mm26qcj20hk0czjsb.jpg,无,2021-06-22 19:46,微博 weibo.com,4,2,1
